,start_time,end_time,duration_minutes,n_points,peak_score
69,2017-01-15 18:00:00,2017-01-15 18:00:00,5,1,6.588387855843352
70,2017-01-16 02:45:00,2017-01-16 02:45:00,5,1,5.666407652552781
71,2017-01-16 05:50:00,2017-01-16 05:50:00,5,1,6.2318636304003565
72,2017-01-16 09:35:00,2017-01-16 10:50:00,80,16,13820505000.000006
73,2017-01-16 19:15:00,2017-01-16 19:15:00,5,1,5.3538437485128805
74,2017-01-17 01:10:00,2017-01-17 01:10:00,5,1,5.403055437069908
75,2017-01-17 19:25:00,2017-01-17 21:40:00,140,28,6.040059376684065
76,2017-01-18 00:10:00,2017-01-18 00:10:00,5,1,10.01400954984737
77,2017-01-18 02:35:00,2017-01-18 04:00:00,90,18,6.984576498915534
78,2017-01-18 16:55:00,2017-01-18 17:40:00,50,10,6.573792116784431
79,2017-01-18 23:35:00,2017-01-19 00:30:00,60,12,9.557274785489781
80,2017-01-19 05:10:00,2017-01-19 05:15:00,10,2,5.795703695117512
81,2017-01-19 08:55:00,2017-01-19 09:45:00,55,11,7.232209191888884
82,2017-01-19 11:30:00,2017-01-19 11:30:00,5,1,5.170900590900065
83,2017-01-19 17:35:00,2017-01-19 17:35:00,5,1,6.382435829169479
84,2017-01-20 02:40:00,2017-01-20 02:40:00,5,1,5.7493095169650825
85,2017-01-20 04:40:00,2017-01-20 04:40:00,5,1,7.397785040634395
86,2017-01-20 11:10:00,2017-01-20 11:10:00,5,1,5.309064442871488
87,2017-01-20 22:00:00,2017-01-20 22:00:00,5,1,13.082434299580628
88,2017-01-21 08:25:00,2017-01-21 08:25:00,5,1,5.2332372166734755
89,2017-01-21 14:35:00,2017-01-21 15:05:00,35,7,5.868447131393485
90,2017-01-21 19:10:00,2017-01-21 19:10:00,5,1,6.993499998010421
91,2017-01-21 20:40:00,2017-01-21 20:40:00,5,1,5.131806232699946
92,2017-01-21 22:30:00,2017-01-21 22:30:00,5,1,5.142702699776578
93,2017-01-22 02:00:00,2017-01-22 02:00:00,5,1,5.244293272218621
94,2017-01-22 19:05:00,2017-01-22 19:15:00,15,3,7.9400232307191825
95,2017-01-23 01:00:00,2017-01-23 01:00:00,5,1,5.374431685265352
96,2017-01-23 03:35:00,2017-01-23 03:35:00,5,1,5.7572076439811966
97,2017-01-23 05:15:00,2017-01-23 07:00:00,110,22,24.101688109266664
98,2017-01-23 13:05:00,2017-01-23 13:15:00,15,3,30.091065868146647
99,2017-01-23 15:35:00,2017-01-23 15:35:00,5,1,10.01525149574341
100,2017-01-23 17:45:00,2017-01-23 17:45:00,5,1,6.738591442528604
101,2017-01-23 19:55:00,2017-01-23 19:55:00,5,1,6.560275122331487
102,2017-01-23 22:50:00,2017-01-23 22:50:00,5,1,6.227831403022732
103,2017-01-24 08:35:00,2017-01-24 09:10:00,40,8,8.560862326148541
104,2017-01-24 13:25:00,2017-01-24 13:40:00,20,4,5.346560206624881
105,2017-01-24 17:15:00,2017-01-24 17:15:00,5,1,5.328362111054705
106,2017-01-25 01:00:00,2017-01-25 01:00:00,5,1,20.31179948483998
107,2017-01-25 08:15:00,2017-01-25 08:30:00,20,4,6.733583917216616
108,2017-01-25 16:15:00,2017-01-25 16:25:00,15,3,20.437844733282223
109,2017-01-25 17:35:00,2017-01-25 17:35:00,5,1,6.70956660160992
110,2017-01-25 22:25:00,2017-01-25 22:25:00,5,1,8.664418830729995
111,2017-01-26 11:20:00,2017-01-26 11:30:00,15,3,15.00265683535342
112,2017-01-26 12:55:00,2017-01-26 12:55:00,5,1,5.435887374692906
113,2017-01-26 15:10:00,2017-01-26 15:10:00,5,1,5.229486579442201
114,2017-01-26 17:25:00,2017-01-26 17:25:00,5,1,13.142857326323709
115,2017-01-27 02:15:00,2017-01-27 02:15:00,5,1,5.860894419975909
116,2017-01-27 03:50:00,2017-01-27 03:50:00,5,1,5.4988235275894874
117,2017-01-27 09:25:00,2017-01-27 09:25:00,5,1,20.962961988724057
118,2017-01-27 12:35:00,2017-01-27 12:35:00,5,1,5.3519150280157834
119,2017-01-27 14:10:00,2017-01-27 14:45:00,40,8,10.788693616873719
120,2017-01-27 16:55:00,2017-01-27 16:55:00,5,1,16.439813304106977
121,2017-01-27 21:55:00,2017-01-27 21:55:00,5,1,7.8711921903012545
122,2017-01-28 06:00:00,2017-01-28 06:00:00,5,1,5.084965741720723
123,2017-01-28 07:05:00,2017-01-28 07:25:00,25,5,5.2438019927061115
124,2017-01-28 13:40:00,2017-01-28 13:40:00,5,1,7.138546017386293
125,2017-01-28 15:15:00,2017-01-28 15:15:00,5,1,6.682158380942957
126,2017-01-28 18:35:00,2017-01-28 18:35:00,5,1,6.497015203271396
127,2017-01-29 00:40:00,2017-01-29 00:40:00,5,1,22.769934059678494
128,2017-01-29 12:15:00,2017-01-29 12:15:00,5,1,5.938737203777966
129,2017-01-29 14:30:00,2017-01-29 14:30:00,5,1,16.124310007707795
130,2017-01-30 11:25:00,2017-01-30 11:25:00,5,1,7.787924343570393
131,2017-01-30 14:10:00,2017-01-30 14:10:00,5,1,6.3435118972100835
132,2017-01-30 16:25:00,2017-01-30 16:25:00,5,1,5.214984022226864
133,2017-01-30 20:00:00,2017-01-30 20:10:00,15,3,7.13563706012692
134,2017-01-31 04:40:00,2017-01-31 05:20:00,45,9,7.560766952730711
135,2017-01-31 08:10:00,2017-01-31 08:10:00,5,1,5.4723096815063315
136,2017-01-31 10:30:00,2017-01-31 10:30:00,5,1,8.847379466494038
137,2017-01-31 12:30:00,2017-01-31 12:30:00,5,1,9.993038686510717
138,2017-01-31 18:00:00,2017-01-31 18:00:00,5,1,5.33104814025033
139,2017-01-31 22:45:00,2017-01-31 22:45:00,5,1,6.8998032722250295
140,2017-02-01 04:40:00,2017-02-01 04:40:00,5,1,5.255199799103336
141,2017-02-01 08:00:00,2017-02-01 08:00:00,5,1,21.268276505241417
142,2017-02-01 14:00:00,2017-02-01 14:00:00,5,1,5.093358102605291
143,2017-02-01 15:20:00,2017-02-01 15:35:00,20,4,5.936845927293286
144,2017-02-01 17:20:00,2017-02-01 17:25:00,10,2,16.43781477422758
145,2017-02-02 00:45:00,2017-02-02 00:45:00,5,1,6.144640744080767
146,2017-02-02 04:45:00,2017-02-02 04:45:00,5,1,5.282100258277608
147,2017-02-02 10:50:00,2017-02-02 10:55:00,10,2,12.063428803491037
148,2017-02-02 23:25:00,2017-02-02 23:25:00,5,1,5.930178485595606
149,2017-02-03 02:15:00,2017-02-03 02:20:00,10,2,10.417544476571022
150,2017-02-03 04:45:00,2017-02-03 04:45:00,5,1,5.338999989973688
151,2017-02-03 06:20:00,2017-02-03 06:20:00,5,1,6.201999157579354
152,2017-02-04 00:20:00,2017-02-04 00:20:00,5,1,8.067287120725425
153,2017-02-04 02:30:00,2017-02-04 02:30:00,5,1,5.204116374824046
154,2017-02-04 04:35:00,2017-02-04 04:35:00,5,1,6.043486231278318
155,2017-02-04 10:15:00,2017-02-04 10:15:00,5,1,5.390331929753331
156,2017-02-04 15:30:00,2017-02-04 15:30:00,5,1,5.7717595115764935
157,2017-02-04 17:40:00,2017-02-04 17:40:00,5,1,5.199617018947611
158,2017-02-04 19:30:00,2017-02-04 19:35:00,10,2,9.266853200562288
159,2017-02-04 23:40:00,2017-02-04 23:40:00,5,1,8.668109294262216
160,2017-02-05 14:50:00,2017-02-05 14:50:00,5,1,5.421214946515645
161,2017-02-06 13:20:00,2017-02-06 13:20:00,5,1,8.924021651503722
162,2017-02-06 20:45:00,2017-02-06 20:45:00,5,1,7.202729651198726
163,2017-02-07 00:15:00,2017-02-07 00:15:00,5,1,7.328810918211173
164,2017-02-07 02:05:00,2017-02-07 02:05:00,5,1,5.710675451756021
165,2017-02-07 11:00:00,2017-02-07 11:25:00,30,6,6.211157126591211
166,2017-02-07 19:20:00,2017-02-07 19:20:00,5,1,18.504558569642
167,2017-02-08 00:05:00,2017-02-08 00:05:00,5,1,6.126128853347978
168,2017-02-08 04:35:00,2017-02-08 04:35:00,5,1,12.607593036190899
169,2017-02-08 08:15:00,2017-02-08 08:15:00,5,1,5.515928085445547
170,2017-02-08 09:45:00,2017-02-08 09:45:00,5,1,9.033568358186523
171,2017-02-08 11:15:00,2017-02-08 11:15:00,5,1,6.694094337426027
172,2017-02-08 21:25:00,2017-02-08 21:25:00,5,1,8.304193019393322
173,2017-02-08 23:50:00,2017-02-09 00:20:00,35,7,7.005856345849988
174,2017-02-09 06:00:00,2017-02-09 06:10:00,15,3,11.859166661098932
175,2017-02-09 11:00:00,2017-02-09 11:00:00,5,1,10.275966855089203
